"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","job","finally","morning","day","found","friend","time","moment","dinner","watched"
"2","received","finished","day","home","bought","enjoyed","dog","feel","ate","played"
"3","event","school","hours","birthday","car","time","girlfriend","life","eat","game"
"4","called","college","nice","family","money","talked","spend","people","food","movie"
"5","promotion","book","night","sister","purchased","met","walk","happiness","lunch","won"
"6","successfully","ive","sleep","house","buy","trip","cat","event","favorite","favorite"
"7","card","class","run","brother","shopping","family","spent","live","girlfriend","video"
"8","company","completed","relax","surprise","store","planned","boyfriend","makes","night","team"
"9","expected","started","weather","mother","helped","party","visit","person","delicious","fun"
"10","started","weeks","coffee","mom","finally","visit","love","experience","restaurant","tickets"
"11","managed","hard","woke","time","cleaned","havent","park","happened","cooked","song"
"12","offer","read","started","celebrated","didnt","meet","moved","love","pizza","listening"
"13","boss","graduation","rain","gift","dollars","summer","weekend","positive","brought","music"
"14","told","project","bed","excited","saved","vacation","beautiful","world","meal","night"
"15","interview","couple","gym","parents","fixed","close","date","joy","home","funny"
"16","mail","passed","walk","love","drive","hadnt","baby","dream","nice","season"
"17","recently","learned","feel","dad","mturk","fun","girl","pleasant","phone","win"
"18","phone","goal","afternoon","son","picked","bike","decided","share","ice","finally"
"19","bonus","lost","stopped","father","sale","wedding","live","remember","boyfriend","concert"
"20","accepted","results","ran","told","online","ride","city","god","breakfast","episode"
