"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","finally","dinner","found","friend","day","night","received","day","watched","feel"
"2","son","enjoyed","daughter","time","family","home","told","walk","played","job"
"3","school","favorite","house","talked","birthday","hours","store","morning","son","started"
"4","called","boyfriend","car","visit","daughter","love","managed","trip","daughter","money"
"5","finished","lunch","moved","spend","dog","cat","shopping","beach","game","ive"
"6","mom","food","baby","phone","beautiful","dog","paid","waiting","won","pay"
"7","completed","ate","cleaned","nice","sister","morning","hard","excited","weeks","check"
"8","book","eat","dollars","spent","weekend","sleep","card","bought","girlfriend","bill"
"9","learned","restaurant","sale","mother","kids","coffee","boss","drive","laugh","recently"
"10","read","delicious","purchased","conversation","live","didnt","free","nice","movie","decided"
"11","meet","cooked","care","granddaughter","brought","drink","person","smile","team","lost"
"12","college","fun","dont","partner","makes","run","online","listening","hit","bit"
"13","attended","girl","bought","havent","easter","bed","deal","park","baseball","weight"
"14","project","ice","fixed","hadnt","event","woke","promotion","rain","taking","life"
"15","doctor","surprise","color","grandson","party","couple","grocery","road","video","mturk"
"16","planned","meal","buy","niece","celebrated","boyfriend","company","ride","season","moment"
"17","proud","cream","stopped","picture","people","minutes","expected","flowers","dance","positive"
"18","passed","friend","picked","sunday","children","sitting","return","performance","win","tax"
"19","successfully","training","apartment","live","life","relax","mail","music","score","earned"
"20","summer","breakfast","saved","chat","neighbor","kitten","complimented","pretty","basketball","interview"
